address_id,address,address2,district,city_id,postal_code,phone,last_update
1,47 MySakila Drive,, ,300,, ,2020-12-23 07:12:21
2,28 MySQL Boulevard,, ,576,, ,2020-12-23 07:12:21
3,23 Workhaven Lane,, ,300,, ,2020-12-23 07:12:21
4,1411 Lillydale Drive,, ,576,, ,2020-12-23 07:12:21
5,1913 Hanoi Way,, ,463,35200, ,2020-12-23 07:12:21
6,1121 Loja Avenue,, ,449,17886, ,2020-12-23 07:12:21
7,692 Joliet Street,, ,38,83579, ,2020-12-23 07:12:21
8,1566 Inegl Manor,, ,349,53561, ,2020-12-23 07:12:21
9,53 Idfu Parkway,, ,361,42399, ,2020-12-23 07:12:21
10,1795 Santiago de Compostela Way,, ,295,18743, ,2020-12-23 07:12:21
11,900 Santiago de Compostela Parkway,, ,280,93896, ,2020-12-23 07:12:21
12,478 Joliet Way,, ,200,77948, ,2020-12-23 07:12:21
13,613 Korolev Drive,, ,329,45844, ,2020-12-23 07:12:21
14,1531 Sal Drive,, ,162,53628, ,2020-12-23 07:12:21
15,1542 Tarlac Parkway,, ,440,1027, ,2020-12-23 07:12:21
16,808 Bhopal Manor,, ,582,10672, ,2020-12-23 07:12:21
17,270 Amroha Parkway,, ,384,29610, ,2020-12-23 07:12:21
18,770 Bydgoszcz Avenue,, ,120,16266, ,2020-12-23 07:12:21
19,419 Iligan Lane,, ,76,72878, ,2020-12-23 07:12:21
20,360 Toulouse Parkway,, ,495,54308, ,2020-12-23 07:12:21
21,270 Toulon Boulevard,, ,156,81766, ,2020-12-23 07:12:21
22,320 Brest Avenue,, ,252,43331, ,2020-12-23 07:12:21
23,1417 Lancaster Avenue,, ,267,72192, ,2020-12-23 07:12:21
24,1688 Okara Way,, ,327,21954, ,2020-12-23 07:12:21
25,262 A Corua (La Corua) Parkway,, ,525,34418, ,2020-12-23 07:12:21
26,28 Charlotte Amalie Street,, ,443,37551, ,2020-12-23 07:12:21
27,1780 Hino Boulevard,, ,303,7716, ,2020-12-23 07:12:21
28,96 Tafuna Way,, ,128,99865, ,2020-12-23 07:12:21
29,934 San Felipe de Puerto Plata Street,, ,472,99780, ,2020-12-23 07:12:21
30,18 Duisburg Boulevard,, ,121,58327, ,2020-12-23 07:12:21
31,217 Botshabelo Place,, ,138,49521, ,2020-12-23 07:12:21
32,1425 Shikarpur Manor,, ,346,65599, ,2020-12-23 07:12:21
33,786 Aurora Avenue,, ,474,65750, ,2020-12-23 07:12:21
34,1668 Anpolis Street,, ,316,50199, ,2020-12-23 07:12:21
35,33 Gorontalo Way,, ,257,30348, ,2020-12-23 07:12:21
36,176 Mandaluyong Place,, ,239,65213, ,2020-12-23 07:12:21
37,127 Purnea (Purnia) Manor,, ,17,79388, ,2020-12-23 07:12:21
38,61 Tama Street,, ,284,94065, ,2020-12-23 07:12:22
39,391 Callao Drive,, ,544,34021, ,2020-12-23 07:12:22
40,334 Munger (Monghyr) Lane,, ,31,38145, ,2020-12-23 07:12:22
41,1440 Fukuyama Loop,, ,362,47929, ,2020-12-23 07:12:22
42,269 Cam Ranh Parkway,, ,115,34689, ,2020-12-23 07:12:22
43,306 Antofagasta Place,, ,569,3989, ,2020-12-23 07:12:22
44,671 Graz Street,, ,353,94399, ,2020-12-23 07:12:22
45,42 Brindisi Place,, ,586,16744, ,2020-12-23 07:12:22
46,1632 Bislig Avenue,, ,394,61117, ,2020-12-23 07:12:22
47,1447 Imus Way,, ,167,48942, ,2020-12-23 07:12:22
48,1998 Halifax Drive,, ,308,76022, ,2020-12-23 07:12:22
49,1718 Valencia Street,, ,27,37359, ,2020-12-23 07:12:22
50,46 Pjatigorsk Lane,, ,343,23616, ,2020-12-23 07:12:22
51,686 Garland Manor,, ,247,52535, ,2020-12-23 07:12:22
